id,text
27,MErCI bEAUcOUp
25,à partir de Labouheyre je dois aller à Ossès
94,Quel temps de trajet de Muhlbach à Sèvres ?
74,Y a-t-il des réductions pour le trajet de aubigny à l'herbergement ?
41,Je voudrais aller de bourbourg à saverne pour une exposition
69,Est ce qu'il y a des trains de Montreuil à Les lacs ?
56,je voudrais un billet dpuis croix l'allumette
77,Je voudrais aller de cergy saint à escaudœuvres rapidement
1,Peut-on réserver un billet de assat à ebersheim ?
54,je dois aller de moreuil à la réole pour une conférence
83,Je veux aller de Avenay à Rivarennes pour visiter
37,je voudrais aller chercher françois à brazey depuis graffenwald
39,J'aimerais un billet depuis les versannes
40,Je veux faire le trajet pontchâteau druye
4,j'AI BesoIn DE quITTEr boULAZaC
33,Y a-t-il un train direct depuis Elbeuf ?
45,Je voudrais me rendre de champbenoist à gazinet cestas
70,je voudrais aller de le coudray à cazères pour un week-end
58,de auvers pour ingrandes s'il vous plaît
42,Depuis beuvry lès béthune je recherche un train pour santeuil
6,je SoUhaITE ALLeR dE fLErs À Le Bruel POUR vOiR PierRE
24,Je dois me rendre de golfe juan vallauris à isles
71,CoMMEnT Ça va ?
2,Je eUX me rENdrE à ceRcy DEpuIs GoNCELin
81,Pour aller à saint nabord je voudrais partir de dannemarie
80,J'aimerais aller voir mon ami {name} à mouy depuis thuès carença
31,PouVEz-vOUs M'AiDER ?
34,Je SouhAITE aLLer DE LaNgeaIS À nÉGroNDeS aU meillEur pRiX
32,Quels sont les horaires de Mauves à Boussy ?
10,depuis la gare de montoir je voudrais aller à thiers
20,Je veux aller au port de toury depuis saint-marin d'étampes
19,j'ai besoin d'être à barentin ce soir
3,eST-CE QuE JE PeuX rÉsERvEr UN BilleT de saInt-bLAise À mOntpOn ?
29,je veux La ménitré depuis La pomme
5,Je souhaite aller de villaines à fougeré
17,"avec marie, je souhaite aller de domblans à valence d'agen"
8,il me faut aller de remiremont à chanac pour assister à un concert
38,Peut on aller de chindrieux à franois en train ?
7,Je veux aller de Ballancourt à Port-Boulet
84,Je veuX un tRaIN DIrect de SAINt cYPrIeN à tHIONviLLe
65,J'aimerais me rendre à jeumont depuis anor pour un rendez-vous
36,"Bonjour, comment allez-vous ?"
76,je voudrais u trajet de École à Drusenheim
64,j'aimerais aller de bouae à volvic le plus vite possible
9,jE VOudRAIS Aller De amBazAC À fLEURVillE AVec cORREspONdaNcE
67,j'AimERaIS uN bIlLet de SaINt Ouen à WIlWishEIM
15,Je veux me rendre de gap à coudekerque
43,partir de Le creusot pour aller à Épanvilliers
50,Comment aller à Port-Boulet depuis Saint-Victor ?
46,de Méricourt je veux aller à Saint-Martory
13,j'aIMeRAIs Aller de loNGJumeAU À ToNNeins pOuR LES VaCAnceS
49,De sant-martin pour avignonet s'il vous plaît
88,je voudrais aller de le creusot vers jonchery
96,J'aimerais aller de Langeais à Le vieux briollay pour rendre visite à Paul
26,Au revoir
60,je SOuhaITE aLLer De CORdeS à niVErSaC poUR les vaCANcES
62,pouvez-vous me donner des directions ?
21,Je voudrais aller de Torfou à Réaumont pour les vacances
89,à partir de Les vallées je souhaite aller à Senozan
98,Je veux un billet de toul à avalon pour demain
30,Quels sont les trains depuis langogne ?
79,J'aimErAIs Me REndRe à DuttleNHeIM depUIs lonGUeIL
18,EN pARtanT dE BeLlEViLLE Je VOUDrAIS mE rENdrE à VaNNeS
53,Je dois aller voir mon ami Paul à Vélines en partant de Thenissey
57,je dois aller à salomé
92,jE CHerche un ResTAuRAnT
87,JE doIS aller à lUDrEs dEPUIs l'iSLE
59,jE voUDrais aLlER de coSNe à IMpHY en PREMIÈRE ClAssE
23,j'aimerais aller de nointel à serres en train
47,Je cherche un restaurant
95,J'aimerais aller de La frayère à Saint Cyr pour visiter
44,Dns quelle gare prendre le train de illiers à chenonceaux ?
97,Combien pour aller à Vesoul ?
11,À quelle heure y a-t-il des trains de beuvrages à sin ?
68,Est-ce qu'il y a des trains pour hoelschloch ?
55,je voudrais aller de fécam à riom pour le moins cher
51,Je dois aller de Fougeré à Maurecourt pour une réunion
63,j'aiMeRaIS partiR de SAINt-SuLPice Pour aler à MAgALas
91,je SouhAite tRiTH EN parTaNT dE TRéMolAt
52,Je souhaite partir de la bassée et arriver à orange
